keywords;title;description;modified;Typ;Kontakt;URL
Abfall;Recyclingquote;Wenngleich die Abfallverbrennung in der Schweiz in Bezug auf die Entsorgung keine grosse Umweltbelastung mehr darstellt, ist es wünschenswert, dass ein möglichst grosser Anteil der Siedlungsabfälle separat gesammelt und wiederverwertet wird. Dadurch wird der Verbrauch von Ressourcen reduziert und Energie eingespart. Die Recyclingquote zeigt damit an, wie gross der Anteil der Siedlungsabfälle ist, die ressourcenschonend entsorgt werden.;2024-11-01 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Verwertete Sonderabfälle;Sonderabfälle sind Abfälle, deren unsachgemässe Entsorgung ein erhöhtes Risiko für Mensch und Umwelt darstellt. Um dieses Risiko zu minimieren, bestehen besondere technische und organisatorische Massnahmen. Diese sind in der Verordnung über den Verkehr mit Abfällen (VeVA) und in der Technischen Verordnung über Abfälle (TVA) vorgeschrieben. Die mengenmässig wichtigsten Sonderabfälle sind Abfälle aus der Sanierung von Altlasten, Filterstaub aus Kehrichtverbrennungsanlagen, Shredderrückstände aus der Altautoentsorgung (RESH), Lösungsmittel sowie Strassensammlerschlämme. Sofern sie nicht vermieden werden können, sollten sie, wenn immer möglich, verwertet, d.h. recycelt werden. Die grösste Menge der nicht recycelten Sonderabfälle der Schweiz wird einer thermischen Verwertung (Verbrennung) zugeführt. Hierbei wird Strom und Wärm zu Heizzwecken erzeugt. Nur ein geringer Teil wird auf Deponien abgelagert oder chemisch-physikalisch behandelt.  Der Indikator ist ein Mass dafür, wie stark die Abfallwirtschaft den Grundsatz befolgt, dass Abfälle, wenn immer möglich, wieder verwertet werden sollen.;2024-11-18 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Begleitscheine Sonderabfalltransporte;Jedem Transport von Sonderabfällen muss ein Begleitschein beigelegt werden. Dieser enthält unter anderem Angaben über den Abgeberbetrieb, das Entsorgungsunternehmen, der Abfallcode inkl. Beschreibung des Abfalls, Gewicht und Verpackungsart sowie das Versanddatum. Das Mitführen eines Begleitscheins ermöglicht die Kontrolle der umweltgerechten Entsorgung von Sonderabfällen.;2024-11-18 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Grenzüberschreitender Verkehr mit Abfällen;;2024-11-18 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Auf Deponien abgelagerte Abfälle;;2024-11-12 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Bauabfälle;;2021-04-29 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Separat gesammelte Abfälle;;2024-11-01 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Gesamtrecyclingquote Abfallwirtschaft Schweiz (inklusive Ausbruch/Aushub);;2024-11-01 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Abgelagerte Abfälle auf Deponien;;2024-10-10 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Altlasten;Stand der Altlastensanierung;Es wird davon ausgegangen, dass von den rund 38‘000 belasteten Standorten insgesamt ca. 4‘000 eine Gefahr für Mensch und Umwelt darstellen und demnach als Altlasten zu klassieren sind. Mit den Sanierungen der vordringlichen Altlasten, bei denen eine akute Gefährdung für die Schutzgüter ausgeht, wurde mittlerweile praktisch überall begonnen. Bis 2028 sollen alle Untersuchungen abgeschlossen und bis 2045 alle Altlasten saniert sein. Diese zeitliche Staffelung stellt sicher, dass erhebliche Umweltrisiken rasch behoben werden, ohne die finanziellen Möglichkeiten der öffentlichen Hand und privater Verursacher zu überfordern.;2024-02-27 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Altlasten;Untersuchte Standorte;;2024-10-10 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Altlasten;Belastete Standorte;Von Abfalldeponien, stillgelegten Betrieben oder Unfallstandorten können umweltgefährdende Stoffe in die Umwelt gelangen. In der Schweiz gibt es etwa 38'000 solcher belasteten Standorte, von denen rund 13'700 auf ihren Sanierungsbedarf hin beurteilt wurden. Dabei ist die laufende Abnahme der untersuchungsbedürftigen Standorte ein Gradmesser für den Fortschritt der Altlastenbearbeitung.;2024-05-31 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Rote Listen;Viele Tier-, Pflanzen-, Flechten- und Pilzarten kommen in der Schweiz nur noch in kleinen Beständen von wenigen Individuen vor, weil ihre Lebensräume zerstört, stark verändert, mit Schadstoffen belastet, voneinander getrennt oder gestört werden. Kleine Artenbestände haben ein erhöhtes Risiko auszusterben. Rote Listen mit ihren abgestuften Gefährdungskategorien zeigen als wissenschaftliche Fachgutachten, inwiefern bisherige Anstrengungen zur Erhaltung der Artenvielfalt Erfolg hatten und für welche Arten besondere Schutz- und Fördermassnahmen notwendig sind.;2024-11-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Invasive gebietsfremde Arten;Als «gebietsfremd» werden Pflanzen, Tiere, Pilze und Mikroorganismen bezeichnet, die durch menschliche Tätigkeiten in Lebensräume ausserhalb ihres natürlichen Verbreitungsgebiets eingebracht werden. Die Einbringung durch den Menschen kann sowohl absichtlich («einführen») als auch unabsichtlich («einschleppen») erfolgen. Als «invasiv» werden gebietsfremde Arten bezeichnet, von denen bekannt ist bzw. angenommen werden muss («potenziell invasiv»), dass sie durch ihre Ausbreitung in der Schweiz die biologische Vielfalt, Ökosystemleistungen und deren nachhaltige Nutzung beeinträchtigen oder Mensch und Umwelt gefährden können. Invasive Arten tragen weltweit zum Rückgang der Biodiversität bei und sind gemäss IUCN der zweitwichtigste Grund für den Artenrückgang, gleich nach der Zerstörung von Lebensräumen. Die Zunahme gebietsfremder Arten ist auf die Intensivierung des globalen Handels- und Reiseverkehrs zurückzuführen.;2024-11-09 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Berufsfischerei;Die Erträge der Berufsfischerei liegen bei rund 1'500 Tonnen pro Jahr (Durschnitt 2000-2020). Die jährlichen Fangmengen sind von zahlreichen Faktoren abhängig, darunter Umweltfaktoren wie Wetter, natürliche Bestandsschwankungen, Fischkrankheiten, Reoligotrophierung der Seen, oder Sozialfaktoren wie die rückläufige Zahl der BerufsfischerInnen, Nachfrageschwankungen, Produktionskosten usw.;2024-08-21 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Bestände der Huftieren;Zu grosse Wildtierbestände können zu Verbissschäden am Jungwuchs in den Wäldern führen. Die Schweizer Gesetzgebung sieht deshalb vor, dass die Wildtierbestände so reguliert werden, dass die natürliche Verjüngung des Waldes mit standortgerechten Baumarten gewährleistet ist. Anderseits muss aber auch eine angemessene Nutzung der Wildtierbestände langfristig gewährleistet sein. Die Jagd hat sich also in erster Linie nach dem Prinzip der Nachhaltigkeit zu richten.;2024-11-09 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Wildtierkorridore;Für die Erhaltung der Biodiversität in der Schweiz müssen die natürlichen Lebensräume untereinander vernetzt sein. Die Fauna ist auf ökologisch intakte Wanderkorridore angewiesen. Die Zerschneidung von Lebensräumen durch Siedlungen und Verkehrswege ist für zahlreiche Arten sehr problematisch, insbesondere für Wildtiere mit grossem Raumbedarf wie Hirsch, Wildschwein oder Luchs. Der Zustand der Wildtierkorridore ist ein guter Indikator der Durchlässigkeit der Landschaft in der Schweiz.;2024-11-09 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Biodiversitätsförderflächen;Als Biodiversitätsförderflächen (BFF) gelten extensiv genutzte Flächen wie Wiesen und Weiden, Streuflächen, Hecken, Feldgehölze oder Buntbrachen. Biodiversitätsförderflächen bieten Tieren und Pflanzen Nischen für das Überleben im Landwirtschaftsgebiet. Die Flächen leisten einen Beitrag zur Erhaltung der Artenvielfalt, indem sie bedrohten Arten ermöglichen, sich wieder auszubreiten. Sie erhöhen die Landschaftsvielfalt und bewahren Teile der historisch gewachsenen Kulturlandschaft. Die Bewirtschafter können für diese Flächen Direktzahlungen geltend machen, wenn deren Anteil an der übrigen landwirtschaftlichen Nutzfläche mindestens 7% beträgt. Für Biodiversitätsförderflächen, auf denen bestimmte Zeigerpflanzen vorkommen, können die Bewirtschafter zusätzlich Qualitätsbeiträge in Anspruch nehmen. Die Vernetzungsprojekte stellen zusätzliche Massnahmen zur Förderung der Biodiversität im Landwirtschaftsgebiet dar.;2024-11-28 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Biologisch bewirtschaftete Landwirtschaftsfläche;Der biologische Landbau produziert so weit als möglich in geschlossenen Kreisläufen mit umweltverträglichen Methoden. Chemisch-synthetische Dünger und Pflanzenschutzmittel sind verboten. Eine Zunahme des Biolandbaus ist deshalb für die Biodiversität vorteilhaft. Diese positive Wirkung variiert jedoch je nach Standort, Klima, Kulturpflanzen und den vorherrschenden Bewirtschaftungsmethoden. Sie ist zum Beispiel im Ackerland ausgeprägter als im Grünland. Auch umliegende Gewässer profitieren vom Biolandbau. Sie werden nicht mit chemisch-synthetischen Düngern und Pflanzenschutzmitteln belastet. Im Sinne möglichst geschlossener Kreisläufe sind zudem die Viehbestände der Grösse der Biobetriebe angepasst. Dies bedeutet, dass Biobauern ihr Land nicht übermässig düngen und so weniger Nährstoffe in die Gewässer gelangen.;2024-11-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Verbotene invasive gebietsfremde Arten gemäss Verordnungen;;2022-11-28 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Swiss Bird Index®;Vögel kommen in verschiedensten natürlichen Lebensräumen vor und stellen an diese meistens spezifische Ansprüche. Daher sind Brutvogelbestände ein wertvoller Indikator für den Zustand der Biodiversität im Allgemeinen. Kurzfristig kann die Bestandsentwicklung von der Witterung abhängen. Die Beobachtung langfristiger Trends erlaubt Rückschlüsse auf den Erfolg von Massnahmen zur Erhaltung von Arten, auf Veränderungen in ihren Lebensräumen und auf die Einwirkung schädlicher Einflussfaktoren.;2024-09-18 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Tagfalter-Index;Tagfalter bevorzugen vorwiegend offene und halboffene Lebensräume und reagieren empfindlich auf Veränderungen ihrer Umgebung. Sie eignen sich hervorragend als Zeigerarten, da sie auffällig und relativ einfach zu erheben sind. Aufgrund ihrer ausgeprägten Empfindlichkeit u.a gegenüber klimatischen Faktoren sind Tagfalter zuverlässige Indikatoren für die Auswirkungen der Klimaerwärmung. Die Beobachtung langfristiger Trends erlaubt Rückschlüsse auf den Einfluss des Klimawandels auf die Verbreitungsgebiete der Arten.;2022-12-16 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Biotope von nationaler Bedeutung;Viele ehemals verbreitete Lebensräume existieren nur noch in stark reduzierter Ausdehnung. Um die Vielfalt der Lebensräume und darin vorkommende seltene und bedrohte Arten zu erhalten, sind Auen, Moore, Amphibienlaichgebiete sowie Trockenwiesen und -weiden (TWW) durch nationale Biotop-Inventare geschützt. Lebensräume werden von speziellen Arten bewohnt, welche an die dort herrschenden Bedingungen angepasst sind. Verändert sich die Qualität des Standorts, droht der Verlust dieser spezialisierten Arten. Übrig bleiben die weit verbreiteten «Generalisten», und es wandern neue Arten ein. Der ursprüngliche Lebensraum und die damit verbundenen spezifischen Arten verschwinden, Funktionen des Ökosystems gehen verloren.;2024-08-28 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Vielfalt von Artengemeinschaften in Wiesen und Weiden;Die Einzigartigkeit eines Lebensraums zeigt sich an der besonderen, standortspezifischen und historisch gewachsenen Artenzusammensetzung. Insbesondere Arten die selten vorkommen, verleihen einem Standort einen speziellen Charakter. Hingegen verlieren Lebensräume an Einzigartigkeit und werden immer einheitlicher, wenn seltene Arten lokal aussterben und sich verbreitete Arten ausbreiten. Zu den Ursachen dafür gehören der gleichmässige Eintrag von Stickstoff über die Luft, die Intensivierung der Nutzung der natürlichen Ressourcen, der Verlust lokaler Bewirtschaftungsformen und die Ausbreitung bereits weit verbreiteter Arten durch den Einfluss des Menschen (Ansaaten, Samenverbreitung durch Fahrzeuge etc.).;2024-09-20 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Besonders wertvolle Lebensräume;Auen, Moore sowie Trockenwiesen und -weiden waren um 1850 noch weit verbreitet. Seither sind sie durch Gewässerkorrekturen und Verbauungen sowie Entwässerung und Nutzungsintensivierung stark unter Druck geraten. Wegen ihrer Seltenheit und den charakteristischen, teilweise nur hier vorkommenden Arten benötigen diese besonders wertvollen Lebensräume heute einen strikten Schutz und teilweise Revitalisierungs-, Regenerations- und Aufwertungsmassnahmen.;2022-11-28 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Freizeitfischerei;;2024-08-21 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biodiversität;Ausgewiesene Gebiete für Biodiversität;Viele Lebensräume kommen in der Schweiz nur noch auf sehr kleinen Flächen vor. Schutzgebiete tragen dazu bei, diese zu erhalten, und spielen eine zentrale Rolle beim Schutz der Biodiversität in der Schweiz. Dank ihnen können Artenbestände in ihrem angestammten Lebensraum erhalten werden, können sich Bestände gefährdeter Arten wieder erholen und können Ökosysteme ihre Funktionen wahrnehmen. Ausserdem tragen die Schutzgebiete zur Erhaltung der landschaftlichen Vielfalt der Schweiz bei. Die für den Schutz und die Förderung der Biodiversität in der Schweiz ausgewiesenen Gebiete tragen dazu bei, das Aichi-Ziel Nr. 11 zu erreichen, welches im Strategischen Plan zur Biodiversität 2011–2020 der Biodiversitätskonvention (CBD) definiert wurde. Gemäss der CBD müssen auf mindestens 17 % der Landfläche Schutzgebiete eingerichtet werden.;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Boden;Kupfer- und Zinkbelastung von Landwirtschaftsböden;Kupfer und Zink sind essentielle Nährstoffe für die Pflanzen. Es handelt sich dabei um Spurenelemente, die für den Menschen notwendig sind und bei denen ein Mangel respektive ein Überschuss zu Problemen führt. Die Belastung der Böden durch Zink und Kupfer ist im Wesentlichen durch direkte Einträge in der Landwirtschaft bedingt: Diese beiden Schwermetalle finden sich sowohl im Hofdünger als auch in Pflanzenschutzmitteln. Hofdünger wie etwa Rinder- oder Schweinegülle können grosse Mengen an Zink und Kupfer enthalten, die aus Futtermitteln stammen, denen sie aus gesundheitlichen Gründen oder zur Verbesserung der Leistungsfähigkeit der Tiere zugesetzt wurden. Ackerböden oder intensiv genutzes Grasland sind am stärksten von dieser Belastung betroffen. Kupfer ist zudem ein Bestandteil von Fungiziden und Böden unter Spezialkulturen wie Gemüse, Obst und Reben weisen oft hohe Belastungen auf, die sogar die gesetzlichen Richtwerte übersteigen.;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Boden;Kohlenstoffgehalt von Landwirtschaftsböden;Die organische Substanz der Böden (Humus) entsteht durch die Zersetzung von pflanzlichen und tierischen Abfällen durch Bodenorganismen. Die Funktionen der Böden (landwirtschaftliche und forstwirtschaftliche Produktion, Regulation des Wasser- und Nährstoffkreislaufes, Klimaregulierung) und ihre Biodiversität hängen von der Quantität und Qualität der organischen Substanz ab. Der Gehalt an Kohlenstoff, der den Hauptbestandteil der organischen Substanz ausmacht, ist ein allgemeiner Indikator für die Qualität und Fruchtbarkeit der Böden.;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Boden;Bleibelastung von Böden;Die diffuse Belastung des Bodens mit Blei hängt hauptsächlich mit dem atmosphärische Eintrag aus industriellen und verkehrsbedingten Emissionen zusammen. Über einem gewissen Richtwert ist Blei für Tiere und Menschen und unter gewissen Umständen auch für Pflanzen giftig. Die Kontamination erfolgt vor allem durch Einatmen und die orale Aufnahme von Bodenpartikeln. Belastete Spielplätze stellen für Kinder aufgrund ihres Körpergewichts und des Spielverhaltens ein besonders hohes Risiko dar. Die gesundheitlichen Folgen einer zu hohen Bleibelastung können gravierend sein und irreversible neurologische Störungen umfassen (Bleivergiftung). Hingegen wird Blei in Pflanzen nur wenig gespeichert und gelangt somit nur selten in die Nahrungskette.;2023-06-19 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Forschungsinvestitionen Biotechnologie;Die Biotechnologie ist eine Wissenschaft, die sich mit der Nutzung von Enzymen, Zellen und Organismen in technischen Anwendungen beschäftigt. Biotechnologische Verfahren können in verschiedensten Bereichen eingesetzt werden. Am bekanntesten ist ihre Anwendung in der Medizin, Pharmazie, Industrie und in der Landwirtschaft. Die Investitionen in die Biotechnologieforschung sind ein Mass dafür, wie attraktiv der Forschungsstandort Schweiz im Bereich der Biotechnologie ist und wie viele gentechnisch veränderte, pathogene oder exotische Organismen verwendet werden.;2024-09-30 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Forschungsintensität Biotechnologie;Wissenschaftliche Forschungsprojekte führen zu Veröffentlichungen in Fachzeitschriften. Die Anzahl der pro Kopf veröffentlichten gentechnikbezogenen Artikel spiegelt die Forschungsaktivitäten im Bereich der Biotechnologie wider und gibt Aufschluss über die langfristige Entwicklung des Sektors.;2024-09-30 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Wirtschaftstätigkeit Biotechnologie;;2024-11-09 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Bewilligter Umgang mit gebietsfremden invasiven Arten in der Umwelt;Mit invasiven gebietsfremden Organismen nach Anhang 2 FrSV darf in der Umwelt nicht direkt umgegangen werden. Das Bundesamt für Umwelt (BAFU) kann im Einzelfall eine Ausnahmebewilligung erteilen. Bedingung hierfür ist, dass der Umgang mit gebietsfremden Organismen in der Umwelt so erfolgt, dass dadurch weder Menschen, Tiere und Umwelt gefährdet noch die biologische Vielfalt und deren nachhaltige Nutzung beeinträchtigt werden.;2024-02-15 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Hochsicherheitslaboratorien in Biotechnologiebetrieben;Die Verwendung von gentechnisch veränderten, pathogenen und gebietsfremden Organismen in Hochsicherheitslaboratorien birgt ein erhebliches Risiko für Mensch und Umwelt. Die Laboratorien sind jedoch wichtig und nötig, um Umweltproben mit gefährlichen Erregern sachgerecht behandeln und analysieren zu können.;2023-07-06 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Tätigkeiten in geschlossenen Systemen;In der Forschung, beispielsweise bei der Entwicklung neuer Medikamente, werden regelmässig gentechnisch veränderte Organismen (GVO), pathogene Organismen (PO) oder gebietsfremde Organismen verwendet. Da diese Forschung in Laboratorien, Gewächshäusern oder Produktionsanlagen stattfindet und die Organismen nicht in die Umwelt freigesetzt werden, spricht man von Tätigkeiten in geschlossenen Systemen. Diese Tätigkeiten finden unter strengen Sicherheitsvorkehrungen statt, so dass das Risiko, dass Organismen in die Umwelt gelangen könnten, minimal ist. Die Anzahl der jährlichen eingegangenen Neumeldungen für solche Tätigkeiten ist ein Mass dafür, wie attraktiv der Forschungsstandort Schweiz im Bereich der Biotechnologie ist und wie viele personelle und finanzielle Ressourcen zur Verfügung stehen.;2024-02-09 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Freisetzungsversuche mit gentechnisch veränderten Organismen;Im Unterschied zu Tätigkeiten in geschlossenen Systemen (Laboratorien, Gewächshäusern oder Produktionsanlagen) werden Freisetzungsversuche im Freiland durchgeführt. Dabei werden gentechnisch veränderte Organismen (GVO) zu Forschungszwecken und kontrolliert in die Umwelt ausgebracht. Jeder Freisetzungsversuch muss vom Bundesamt für Umwelt (BAFU) genehmigt werden;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Biotechnologie;Kantonale Inspektionen von Tätigkeiten gemäss Einschliessungsverordnung;;2024-09-30 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Störfälle;Betriebe ohne Potential für schwere Schädigungen;"Wo ein chemisches oder biologisches Gefahrenpotential vorhanden ist, kann es durch ausserordentliche Ereignisse zu einer Freisetzung, einem Störfall kommen. Störfälle können ausserhalb der Anlagen zu Toten, Verletzten, erheblichen Schäden oder Verschmutzungen der Umwelt führen. Betriebe mit einem Gefahrenpotential unterstehen der Störfallverordnung (StFV). Sie verlangt, dass diese Risiken verringert werden müssen. Wenn die Folgen der möglichen Störfälle als ""schwer"" zu bezeichnen sind, verlangt die Behörde vom Anlageninhaber eine so genannte Risikoermittlung, dank der das Risiko genauer abgeklärt und beurteilt werden kann. Wenn das Risiko nicht tragbar ist, verlangt die Vollzugsbehörde zusätzliche Sicherheitsmassnahmen, um das Risiko zu reduzieren. Die Lage der Betriebe mit Risikoermittlung zeigt auf, wo Störfälle mit schwerer Schädigung denkbar sind.";;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Störfälle;Personen- und Umweltrisiken durch Gefahrguttransporte im unkritischen Bereich;Beim Transport gefährlicher Güter auf Verkehrswegen oder in Rohrleitungsanlagen kann es infolge ausserordentlicher Ereignisse (u.a. Unfälle) zu Störfällen kommen. Die daraus allenfalls resultierenden Brände, Explosionen und Freisetzungen können Tote und Verletzte oder Umweltschädigungen zur Folge haben. Der Indikator stellt die Risikosituation für alle Transportarten dar.;2024-03-13 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
