keyword;title;description;modified;Typ;Kontakt;URL
Biodiversität;Geodatenmodell Bundesinventar der Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung V1.4;Geodatenmodell (ID 171.1), Publikationsdatum 02.02.2017;2023-11-09;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_derwasser-undzugvogelreservatevoninternationaleru.zip.download.zip/bundesinventar_derwasser-undzugvogelreservatevoninternationaleru.zip
Biodiversität;Geodatenmodell Kantonales Inventar der Amphibienlaichgebiete von nationaler, regionaler und lokaler Bedeutung, V1.1;Geodatenmodell (ID 29.1, 29.2), Publikationsdatum 06.11.2012;2018-08-20;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/kantonales_inventarderamphibienlaichgebietevonnationalerregional.zip.download.zip/kantonales_inventarderamphibienlaichgebietevonnationalerregional.zip
Biodiversität;Geodatenmodell Kantonales Inventar der Auengebiete von nationaler, regionaler und lokaler Bedeutung;Geodatenmodell (ID 26.1), Publikationsdatum 08.04.2013;2013-04-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/kantonales_inventarderauengebietevonnationalerregionalerundlokal.zip.download.zip/kantonales_inventarderauengebietevonnationalerregionalerundlokal.zip
Biodiversität;Geodatenmodell Kantonales Inventar der Flachmoore von nationaler, regionaler und lokaler Bedeutung;Geodatenmodell (ID 28.1), Publikationsdatum 08.04.2013;2013-04-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/kantonales_inventarderflachmoorevonnationalerregionalerundlokale.zip.download.zip/kantonales_inventarderflachmoorevonnationalerregionalerundlokale.zip
Biodiversität;Geodatenmodell Kantonales Inventar der Hoch- und Übergangsmoore von nationaler, regionaler und lokaler Bedeutung;Geodatenmodell (ID 27.1), Publikationsdatum 08.04.2013;2013-04-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/kantonales_inventarderhoch-unduebergangsmoorevonnationalerregion.zip.download.zip/kantonales_inventarderhoch-unduebergangsmoorevonnationalerregion.zip
Biodiversität;Geodatenmodell Kantonales Inventar der Trockenwiesen von nationaler, regionaler und lokaler Bedeutung;Geodatenmodell (ID 189.1), Publikationsdatum 24.02.2015;2015-05-19;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/kantonales_inventardertrockenwiesenvonnationalerregionalerundlok.zip.download.zip/kantonales_inventardertrockenwiesenvonnationalerregionalerundlok.zip
Biodiversität;Geodatenmodell Ruhezonen für Wildtiere , V2.1;Geodatenmodell (ID 195.1 und 195.2), Publikationsdatum 10.12.2019;2024-01-11;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/wildr.zip.download.zip/Wildruhezonen_ID195_V2.zip
Biodiversität;Geodatenmodell Steinbockkolonien , V1.0;Geodatenmodell (ID 169.1), Publikationsdatum 11.06.2019;2019-08-19;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/Steinbockkolonien%20(inkl.%20Winter-%20und%20Sommereinstandsgebiete).zip.download.zip/Steinbockkolonien_ID169.1_V1.0.zip
Biodiversität;Geodatenmodell Übereinkommen über Feuchtgebiete, insbesondere als Lebensraum für Wasser und Watvögel, von internationaler Bedeutung, V1.1;Geodatenmodell (Ramsar-Konvention, ID 2.1), Publikationsdatum 06.11.2012;2019-02-05;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/uebereinkommen_ueberfeuchtgebieteinsbesonderealslebensraumfuerwa.zip.download.zip/uebereinkommen_ueberfeuchtgebieteinsbesonderealslebensraumfuerwa.zip
Biodiversität;Geodatenmodell Übrige Biotope von regionaler und lokaler Bedeutung;Geodatenmodell (ID 23.1, 23.2, 23.3), Publikationsdatum 08.04.2013;2013-04-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/uebrige_biotope_vonregionalerundlokalerbedeutung.zip.download.zip/uebrige_biotope_vonregionalerundlokalerbedeutung.zip
Biodiversität;Geodatenmodell Waldreservate V2.0;Geodatenmodell (ID 160.1), Publikationsdatum 23.01.2025;2025-04-03;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/Datenmodell_Waldreservate_ID160_2025-01-23_V2.zip.download.zip/Datenmodell_Waldreservate_ID160_2025-01-23_V2.zip
Biotechnologie;Geodatenmodell Register über die bewilligten Freisetzungsversuche nach Freisetzungsverordnung;;2019-09-18;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biotechnologie/geodatenmodell/Freisetzungsversuche_ID147.1.zip.download.zip/Freisetzungsversuche_ID147.1.zip
Boden;Geodatenmodell Ergebnisse Nationale Beobachtung Bodenbelastung  und Ergebnisse Kantonale Überwachung Bodenbelastung;;2017-03-09;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/boden/geodatenmodell/ergebnisse_nationale_beobachtung_bodenbelastung_nabo_und_ergebnisse_kantonale_ueberwachung_bodenbelastung.zip.download.zip/Ergebnisse_Bodenbeobachtung_ID124.1,125.1.zip
Chemikalien;Geodatenmodell SwissPRTR;;2012-12-12;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/chemikalien/geodatenmodell/swissprtr.zip.download.zip/swissprtr.zip
Landschaft;Geodatenmodell Bundesinventar der Landschaften und Naturdenkmäler von nationaler Bedeutung BLN, V1.1;Geodatenmodell (ID 18.1), Publikationsdatum 06.11.2012;2018-08-20;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/landschaft/geodatenmodell/bundesinventar_derlandschaftenundnaturdenkmaelervonnationalerbed.zip.download.zip/bundesinventar_derlandschaftenundnaturdenkmaelervonnationalerbed.zip
Landschaft;Geodatenmodell Schweizerischer Nationalpark und Pärke von nationaler Bedeutung, V1.2;Geodatenmodell (ID 31.1 und 187.1), Publikationsdatum 24.02.2015;2019-02-05;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/landschaft/geodatenmodell/schweizerischer_nationalparkundpaerkevonnationalerbedeutung.zip.download.zip/schweizerischer_nationalparkundpaerkevonnationalerbedeutung.zip
Landschaft;Geodatenmodell Übereinkommen zum Schutz des Kultur- und Naturgutes der Welt - UNESCO Weltnaturerbe, V1.1;Geodatenmodell (ID 1.1), Publikationsdatum 06.11.2012;2018-08-27;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/landschaft/geodatenmodell/uebereinkommen_zumschutzdeskultur-undnaturgutesderwelt.zip.download.zip/uebereinkommen_zumschutzdeskultur-undnaturgutesderwelt.zip
Lärm;Geodatenmodell Lärmbelastungskataster für Eisenbahnanlagen V1.4;Geodatenmodell (ID 126.1), Publikationsdatum 16.01.2017;2025-04-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/laerm/geodatenmodell/laermbelastungskataster_fuer_eisenbahnanlagen.zip.download.zip/L%C3%A4rmbelastungskataster_f%C3%BCr_Eisenbahnanlagen.zip
Lärm;Geodatenmodell Lärmbelastungskataster für Nationalstrassen, V1.2;Geodatenmodell (ID 142.1), Publikationsdatum 19.10.2022;2025-04-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/laerm/geodatenmodell/laermbelastungskataster_fuer_nationalstrassen.zip.download.zip/laermbelastungskataster_fuer_nationalstrassen.zip
Lärm;Geodatenmodell Lärmbelastungskataster für Haupt- und übrige Strassen, V1.3;Geodatenmodell (ID 144.1), Publikationsdatum 09.03.2022;2025-02-20;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/laerm/geodatenmodell/laermbelastungskatasterfuerhaupt-unduebrigestrassen.zip.download.zip/laermbelastungskatasterfuerhaupt-unduebrigestrassen.zip
Lärm;Geodatenmodell LBK militärische Schiessplätze, V1.1;Geodatenmodell (ID 177.1), Publikationsdatum 23.01.2018;2023-07-04;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/laerm/geodatenmodell/LBK%20milit%C3%A4rsiche%20Schiesspl%C3%A4tze%20%20.zip.download.zip/20230606_MGDM_LBK_mil_Schiesspl%C3%A4tze_177.1_V1_1.zip
Lärm;Geodatenmodell Lärmbelastungskataster bei Flugplätzen, V1.1;Geodatenmodell (ID 143.1 und 176.1), Publikationsdatum 07.05.2014;2017-06-21;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/laerm/geodatenmodell/laermbelastungskatasterbeiflugplaetzen.zip.download.zip/laermbelastungskatasterbeiflugplaetzen.zip
Lärm;Geodatenmodell Lärmbelastungskarten – nationale Übersicht;Geodatenmodell (ID 120.1-4), Publikationsdatum 09.03.2017;2017-03-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/laerm/geodatenmodell/laermbelastungskarten_nationale_uebersicht%20.zip.download.zip/Laermbelastungskarten_nationaleUebersicht_ID120.1-120.4.zip
Luft;Geodatenmodell Kantonale Erhebungen der Luftbelastung  V1.1;Geodatenmodell (ID 122.1), Publikationsdatum 14.10.2014;2015-07-13;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/luft/geodatenmodell/kantonale_erhebungenderluftbelastungmessnetzev11.zip.download.zip/kantonale_erhebungenderluftbelastungmessnetzev11.zip
Luft;Geodatenmodell Nationale Karten über die Luftbelastung;Geodatenmodell (ID 123.1), Publikationsdatum 14.10.2014;2014-12-03;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/luft/geodatenmodell/nationale_kartenueberdieluftbelastung.zip.download.zip/nationale_kartenueberdieluftbelastung.zip
Luft;Geodatenmodell Nationales Beobachtungsnetz für Luftfremdstoffe  V1.1;Geodatenmodell (ID 121.1), Publikationsdatum 14.10.2014;2015-07-13;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/luft/geodatenmodell/nationales_beobachtungsnetzfuerluftfremdstoffenabelv11.zip.download.zip/nationales_beobachtungsnetzfuerluftfremdstoffenabelv11.zip
Naturgefahren;Geodatenmodell Gefahrenkartierung V1.3;Geodatenmodell (ID 166.1), Publikationsdatum 07.05.2013;2021-06-14;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/naturgefahren/geodatenmodell/Hazard_Mapping%20V1.2.zip.download.zip/Hazard_Mapping%20V1.3.zip
Naturgefahren;Geodatenmodell Naturereigniskataster V1.0;Geodatenmodell (ID 167.1), Publikationsdatum 11.08.2020;2024-05-22;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/naturgefahren/geodatenmodell/Naturereigniskataster%20(ID%20167.1)%20-%20V1_0.zip.download.zip/Naturereigniskataster%20(ID%20167.1)%20-%20V1_0.zip
Naturgefahren;Geodatenmodell Querprofile an Fliessgewässern, V1.0;Geodatenmodell (ID 80.1), Publikationsdatum 25.06.2019;2022-04-26;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/naturgefahren/geodatenmodell/Querprofile_Flussvermessung_ID80.1_V1.0.zip.download.zip/Querprofile_Flussvermessung_ID80.1_V1.0.zip
Naturgefahren;Geodatenmodell Schutzbauten Naturgefahren;Geodatenmodell (ID 81.2), Publikationsdatum 09.03.2017;2020-08-27;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/naturgefahren/geodatenmodell/schutzbauten_naturgefahren%20.zip.download.zip/Schutzbauten_Naturgefahren_v1_0%20(ID81.2).zip
Störfallvorsorge;Geodatenmodell Risikokataster gemäss Störfallverordnung  - Teil Betriebe, V2.0;Geodatenmodell (ID 112.1, 113.1, 205.2, 207.1, 208.1, 209.1, 210.1, 212.2, 214.1, 215.1, 216.1), Publikationsdatum 11.10.2021;2024-03-21;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/stoerfallvorsorge/geodatenmodell/ERKAS-Betriebe_V2_0.zip.download.zip/ERKAS-Betriebe_V2_0.zip
Störfallvorsorge;Geodatenmodell Risikokataster gemäss Störfallverordnung  - Teil Eisenbahnanlagen;Geodatenmodell (ID 112.4), Publikationsdatum 01.04.2014;2018-08-27;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/stoerfallvorsorge/geodatenmodell/risikokataster_gemaessstoerfallverordnungstfv-teileisenbahnanlag.zip.download.zip/risikokataster_gemaessstoerfallverordnungstfv-teileisenbahnanlag.zip
Störfallvorsorge;Geodatenmodell Risikokataster gemäss Störfallverordnung  - Teil Rhein;Geodatenmodell (ID 113.3), Publikationsdatum 09.03.2017;2017-06-30;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/stoerfallvorsorge/geodatenmodell/risikokataster_gemaess_stoerfallverordnung_stfv_teil_rhein.zip.download.zip/risikokataster-stfv-reil-rhein.zip
Störfallvorsorge;Geodatenmodell Risikokataster gemäss Störfallverordnung  - Teil Rohrleitungsanlagen;Geodatenmodell (ID 206.1, 213.1), Publikationsdatum 14.08.2018;2018-10-23;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/stoerfallvorsorge/geodatenmodell/risikokataster_gemaessstoerfallverordnungstfv-teilrohrleitungsanlagen.zip.download.zip/risikokataster_gemaessstoerfallverordnungstfv-teilrohrleitungsanlagen.zip
Störfallvorsorge;Geodatenmodell Risikokataster gemäss Störfallverordnung  – Teil Strassen, V2.0;Geodatenmodell (ID 112, 113.2, 204.1, 210.2, 211.1), Publikationsdatum 11.10.2021;2024-09-04;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/stoerfallvorsorge/geodatenmodell/ERKAS_Durchgangsstrassen_V2.0.zip.download.zip/ERKAS_Durchgangsstrassen_V2.0.zip
Wald;Geodatenmodell Holznutzungsbewilligung V1;;2025-06-03;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/Modelldokumentation_Holznutzungsbewilligungen_V1.0.zip.download.zip/Modelldokumentation_Holznutzungsbewilligungen_V1.0.zip
Wald;Geodatenmodell Rodungen und Rodungsersatz V1.1;;2025-01-28;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/rodungen_rodungsersatz_V1.zip.download.zip/rodungen_rodungsersatz_V1.zip
Wald;Geodatenmodell Forstliche Planung: Waldfunktion - Schutzwald;;2022-01-27;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/waldfunktion_schutzwald.zip.download.zip/Waldfunktion_Schutzwald_ID161.2_V1.0.zip
Wald;Geodatenmodell Langfristige Waldökosystem-Forschung LWF;;2015-05-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/langfristige_waldoekosystem-forschunglwf.zip.download.zip/langfristige_waldoekosystem-forschunglwf.zip
Wald;Geodatenmodell Sanasilva‐Inventuren;;2015-05-08;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/sanasilva_inventuren.zip.download.zip/sanasilva_inventuren.zip
Wald;Geodatenmodell Schweizerisches Landesforstinventar LFI;;2015-12-22;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/schweizerisches_landesforstinventar.zip.download.zip/schweizerisches_landesforstinventar.zip
Wald;Geodatenmodell Vegetationshöhenmodell LFI V1;;2018-06-22;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/Vegetationshoehenmodell_LFI_ID164.19_V1.zip.download.zip/Vegetationshoehenmodell_LFI_ID164.19_V1.zip
Wald;Geodatenmodell Reliefschattierung zum Vegetationshöhenmodell LFI V1;;2018-04-25;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/Vegetationshoehenmodell_Relief_LFI_ID164.20_V1.zip.download.zip/Vegetationshoehenmodell_Relief_LFI_ID164.20_V1.zip
Wald;Geodatenmodell Waldmischungsgrad LFI V1.1;;2021-06-03;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wald-holz/geodatenmodell/Waldmischungsgrad_LFI_ID164.21_V11.zip.download.zip/Waldmischungsgrad_LFI_ID164.21_V11.zip
Wasser;Geodatenmodell Inventar Trinkwasserversorgung in Mangellagen V2.0;;2024-11-22;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/MGDM66_Inv_Trinkwasserversorgung_Mangellagen_V2_0.zip.download.zip/MGDM66_Inv_Trinkwasserversorgung_Mangellagen_V2_0.zip
Wasser;Geodatenmodell Grundwasseraustritte, -fassungen, -anreicherungsanlagen V2.0;;2024-11-22;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/MGDM141_Grundwasseraustritte-fassungen-anreicherungsanlagen_V2_0.zip.download.zip/MGDM141_Grundwasseraustritte-fassungen-anreicherungsanlagen_V2_0.zip
Wasser;Geodatenmodell Kläranlagendatenbank , Regionale Entwässerungsplanung  V1.2;;2024-10-25;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/ARA-DB_REP_V1_1.zip.download.zip/ARA-DB_REP_V1_1.zip
Wasser;Geodatenmodell Planung der Revitalisierungen von Seeufern, V1.2;;2023-08-03;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/planungderrevitalseeufern.zip.download.zip/planungderrevitalseeufern.zip
Wasser;Geodatenmodell Fliessgewässertypisierung der Schweiz;;2019-12-10;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/fgtv11.zip.download.zip/fgtv11.zip
Wasser;Geodatenmodell Basisklassen für Oberflächengewässer V1.0;;2013-11-26;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/basisklassen_fueroberflaechengewaesser.zip.download.zip/basisklassen_fueroberflaechengewaesser.zip
Wasser;Geodatenmodell Basisklassen für Oberflächengewässer V1.1;;2019-02-06;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/basisklassen-fuer-oberflaechengewaesser-v1-1.zip.download.zip/190206_Basisklassen_f%C3%BCr_Oberfl%C3%A4chengew%C3%A4sser_f%C3%BCr_ID140_ID191_ID192_V1.1.zip
Wasser;Geodatenmodell Geschiebemessnetz SOLID;;2014-04-15;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/geschiebemessnetzsolid.zip.download.zip/geschiebemessnetzsolid.zip
Wasser;Geodatenmodell Gewässerraum V1.1;;2022-08-31;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/Gewaesserraum_ID190.zip.download.zip/Gewaesserraum_ID190.zip
Wasser;Geodatenmodell Gewässerzustand;;2019-03-29;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/gewaesserzustand.zip.download.zip/gewaesserzustand.zip
Wasser;Geodatenmodell Grundwasseraustritte, -fassungen, -anreicherungsanlagen V1.0;;2021-09-03;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/grundwasseraustritte_fassungen_anreicherungsanlagen.zip.download.zip/Grundwasseraustritte,%20-fassungen,%20-anreicherungsanlagen.zip
Wasser;Geodatenmodell Grundwasservorkommen V2.0;;2025-03-17;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/grundwasservorkommen.zip.download.zip/Grundwasservorkommen.zip
Wasser;Geodatenmodell Inventar der bestehenden Wasserentnahmen;;2016-01-14;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/inventar_der_bestehendenwasserentnahmen.zip.download.zip/inventar_der_bestehendenwasserentnahmen.zip
Wasser;Geodatenmodell Inventar Trinkwasserversorgung in Notlagen V1.0;;2021-09-03;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/inventar_trinkwasserversorgung_in_notlagen%20.zip.download.zip/Inventar%20Trinkwasserversorgung%20in%20Notlagen_ID66.zip
Wasser;Geodatenmodell Kommunale Entwässerungsplanung;;2017-01-16;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/kommunale_entwaesserungsplanung.zip.download.zip/Kommunale%20Entw%C3%A4sserungsplanung.zip
Wasser;Geodatenmodell Planerischer Gewässerschutz V1.2;;2023-05-11;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/planerischer_gewaesserschutz.1.zip.download.zip/planerischer_gewaesserschutz.zip
Wasser;Geodatenmodell Planung der Revitalisierungen von Fliessgewässern V1.2;;2024-02-12;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/planung_der_revitalisierungenvongewaessern.zip.download.zip/planung_der_revitalisierungenvongewaessern.zip
Wasser;Geodatenmodell Planung und Berichterstattung der Sanierung Wasserkraft V1.2;;2024-03-21;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/190206_Planung_und_Berichterstattung_der_Sanierung_Wasserkraft_ID192.1_V1.1.zip.download.zip/20230307_Planung_und_Berichterstattung_der_Sanierung_Wasserkraft_ID192.1_V1.2.zip
